find src/java/core -name "*.java" | xargs wc | sort -n &&  find src/java/core -name "*.scala" | xargs wc | sort -n
      19      60     527 src/java/core/leapstream/scoreboard/core/gunge/DefaultUrler.java
      19      67     811 src/java/core/leapstream/scoreboard/alien/io/stream/DefaultBytesFromInputStream.java
      19      86     816 src/java/core/leapstream/scoreboard/alien/net/auth/DefaultHttpAuth.java
      20      34     607 src/java/core/leapstream/scoreboard/pylons/score/ui/gunge/Digger.java
      20      42     436 src/java/core/leapstream/scoreboard/alien/script/DefaultArgs.java
      20      43     512 src/java/core/leapstream/scoreboard/core/config/exposed/ReflectiveApplicator.java
      20      56     632 src/java/core/leapstream/scoreboard/alien/script/DefaultScriptFu.java
      21      46     666 src/java/core/leapstream/scoreboard/alien/ui/audio/core/DefaultPlayables.java
      21      47     599 src/java/core/leapstream/scoreboard/core/config/script/DefaultConfigurator.java
      21      54     568 src/java/core/leapstream/scoreboard/alien/ui/swing/pear/Label.java
      21      54     623 src/java/core/leapstream/scoreboard/core/gunge/DefaultStatistician.java
      21      54     676 src/java/core/leapstream/scoreboard/alien/ui/gunge/flash/DefaultFlashBang.java
      21      57     540 src/java/core/leapstream/scoreboard/alien/ui/gunge/flash/DefaultFlasher.java
      21      63     662 src/java/core/leapstream/scoreboard/pylons/status/core/DefaultStatusPylonWirer.java
      21      67     684 src/java/core/leapstream/scoreboard/pylons/score/core/DefaultScorePylonWirer.java
      21      78     777 src/java/core/leapstream/scoreboard/alien/gunge/DefaultTimePointFormat.java
      22      43     804 src/java/core/leapstream/scoreboard/alien/ui/audio/core/AudioWeb.java
      22      49     617 src/java/core/leapstream/scoreboard/alien/net/url/StringUrlSlurper.java
      22      51     797 src/java/core/leapstream/scoreboard/core/images/DefaultImageGrabber.java
      22      58    1008 src/java/core/leapstream/scoreboard/pylons/score/core/DefaultPollThing.java
      22      67     649 src/java/core/leapstream/scoreboard/pylons/score/push/HubScorePusher.java
      22      76     755 src/java/core/leapstream/scoreboard/alien/ui/gunge/fitter/DefaultInsider.java
      22      82     717 src/java/core/leapstream/scoreboard/core/config/script/DefaultExtensionMaster.java
      23      44     917 src/java/core/leapstream/scoreboard/pylons/score/core/PeggedUiWeb.java
      23      50     619 src/java/core/leapstream/scoreboard/pylons/image/push/UiImagePusher.java
      23      53     839 src/java/core/leapstream/scoreboard/alien/aqueduct/DefaultAqueductWirer.java
      23      54     743 src/java/core/leapstream/scoreboard/pylons/image/pull/RotatingImagePuller.java
      23      62     717 src/java/core/leapstream/scoreboard/alien/ui/gunge/layer/InvokeLaterLayer.java
      23      74     684 src/java/core/leapstream/scoreboard/alien/ui/gunge/aspect/DefaultAspectAdjuster.java
      24      58     643 src/java/core/leapstream/scoreboard/core/bits/DefaultBits.java
      24      58     776 src/java/core/leapstream/scoreboard/pylons/score/job/ScoreRunnable.java
      24      77     886 src/java/core/leapstream/scoreboard/core/config/exposed/DefaultApplicators.java
      25      55     716 src/java/core/leapstream/scoreboard/alien/net/ssl/NaiveTrustManager.java
      25      57     840 src/java/core/leapstream/scoreboard/pylons/score/ui/core/ScoreTile.java
      25      60     895 src/java/core/leapstream/scoreboard/alien/ui/audio/core/DefaultAudioWirer.java
      25      69     821 src/java/core/leapstream/scoreboard/alien/clobber/read/parse/DefaultParser.java
      26      46     521 src/java/core/leapstream/scoreboard/alien/ui/audio/core/Speaker.java
      26      51     616 src/java/core/leapstream/scoreboard/core/gunge/DefaultTimestamp.java
      26      53     533 src/java/core/leapstream/scoreboard/core/pylon/WrappedPylon.java
      26      69     964 src/java/core/leapstream/scoreboard/alien/clobber/read/parse/TimePointParser.java
      26      72     802 src/java/core/leapstream/scoreboard/alien/ui/gunge/layout/DefaultCardinal.java
      26      90    1142 src/java/core/leapstream/scoreboard/alien/clobber/core/ClobberWeb.java
      27      62     828 src/java/core/leapstream/scoreboard/core/config/script/DefaultConfiguratorLibraries.java
      27     103    1163 src/java/core/leapstream/scoreboard/alien/clobber/read/parse/DefaultParserFactory.java
      28      51    1099 src/java/core/leapstream/scoreboard/alien/ioc/AlienWeb.java
      28      61     589 src/java/core/leapstream/scoreboard/core/pylon/DefaultPylon.java
      28      64     889 src/java/core/leapstream/scoreboard/pylons/image/core/DefaultImagePylonWirer.java
      28      65     741 src/java/core/leapstream/scoreboard/alien/ui/gunge/image/DefaultImage.java
      28      82     725 src/java/core/leapstream/scoreboard/pylons/score/state/DefaultScorePylonState.java
      28      89     909 src/java/core/leapstream/scoreboard/alien/ui/gunge/layout/OneSixthLayoutManager.java
      28      91     908 src/java/core/leapstream/scoreboard/core/config/exposed/DefaultConfigRegistry.java
      29      59     811 src/java/core/leapstream/scoreboard/alien/ui/audio/wav/SafeStreama.java
      29      68     843 src/java/core/leapstream/scoreboard/alien/ui/gunge/layout/BoomLayoutManager.java
      29      72     730 src/java/core/leapstream/scoreboard/core/config/exposed/DefaultSeeds.java
      29      88    1115 src/java/core/leapstream/scoreboard/alien/clobber/core/DefaultSlurper.java
      30      92    1240 src/java/core/leapstream/scoreboard/alien/script/DefaultEngines.java
      30      96    1078 src/java/core/leapstream/scoreboard/pylons/status/push/StatusUiScorePusher.java
      31      92     980 src/java/core/leapstream/scoreboard/alien/gunge/DefaultTimePointFormatter.java
      31     108     893 src/java/core/leapstream/scoreboard/pylons/score/ui/layout/DefaultSpacings.java
      33      71     846 src/java/core/leapstream/scoreboard/alien/resilient/TimeBoxedRunnable.java
      33      75    1052 src/java/core/leapstream/scoreboard/alien/clobber/read/parse/ListParser.java
      33      77     662 src/java/core/leapstream/scoreboard/core/ui/key/DefaultNavigator.java
      33      78     931 src/java/core/leapstream/scoreboard/alien/ui/audio/voice/VoicePlayable.java
      33     142    1164 src/java/core/leapstream/scoreboard/alien/ui/gunge/layout/DefaultArrangeDude.java
      34      76     844 src/java/core/leapstream/scoreboard/core/pylon/DefaultPylons.java
      34      98    1003 src/java/core/leapstream/scoreboard/alien/clobber/read/parse/DefaultTypeMapper.java
      34     101    1068 src/java/core/leapstream/scoreboard/pylons/score/ui/layout/DefaultTileLayoutManager.java
      35      91    1059 src/java/core/leapstream/scoreboard/alien/gunge/DefaultResources.java
      35      93    1255 src/java/core/leapstream/scoreboard/pylons/score/ui/core/DefaultScoreTileWidgets.java
      35     135    1337 src/java/core/leapstream/scoreboard/alien/ui/gunge/layout/DefaultScraps.java
      36      84    1151 src/java/core/leapstream/scoreboard/pylons/score/ui/gunge/DefaultDigger.java
      36     110    1440 src/java/core/leapstream/scoreboard/pylons/score/core/DefaultScorePylonWirerFu.java
      36     130    1357 src/java/core/leapstream/scoreboard/alien/net/url/DefaultUrlGetter.java
      37      97    1179 src/java/core/leapstream/scoreboard/alien/ui/gunge/flash/DefaultWidgetFlasher.java
      37     160    1517 src/java/core/leapstream/scoreboard/pylons/image/ui/core/DefaultImageTileWidgets.java
      38      88    1427 src/java/core/leapstream/scoreboard/alien/ui/audio/wav/WavPlayable.java
      38      97    1170 src/java/core/leapstream/scoreboard/pylons/status/ui/core/DefaultStatusTileWidgets.java
